cajero,fecha,num averias,target
T10814C1,"03/10/2016 09:59:14,001000000",2,1
T17205C1,"03/10/2016 11:08:10,000000000",2,1
T11694B1,"03/10/2016 11:35:41,000000000",2,1
T14924D1,"03/10/2016 12:24:48,000000000",2,1
T14962B1,"03/10/2016 13:09:09,000000000",2,1
T11554D1,"03/10/2016 13:21:16,000000000",4,1
T14502B1,"03/10/2016 16:25:38,000000000",4,1
T16376D1,"04/10/2016 09:19:03,000000000",2,1
T11017E1,"04/10/2016 11:02:41,000000000",1,1
T10559B1,"04/10/2016 12:12:44,000000000",2,1
T14924D1,"04/10/2016 13:37:23,000000000",3,1
T17076F1,"04/10/2016 14:12:31,000000000",1,1
T16964B1,"04/10/2016 17:30:28,000000000",2,1
T18808B1,"05/10/2016 08:58:37,000000000",4,1
T10451E1,"05/10/2016 09:27:21,000000000",1,1
T12897B1,"05/10/2016 10:01:38,000000000",1,1
T13971B1,"05/10/2016 10:42:32,000000000",1,1
T16982C1,"05/10/2016 13:29:03,000000000",1,1
T18142E1,"05/10/2016 15:59:05,000000000",2,1
T10814C1,"06/10/2016 09:17:14,000000000",3,1
T16436B1,"06/10/2016 09:22:39,001000000",4,1
T10731B1,"06/10/2016 11:13:49,000000000",4,1
T15036B1,"06/10/2016 14:01:46,000000000",2,1
T12906I1,"07/10/2016 08:13:26,000000000",2,1
T14212E1,"07/10/2016 08:42:00,000000000",2,1
T11554D1,"07/10/2016 10:44:43,000000000",5,1
T18689C1,"07/10/2016 10:52:16,000000000",2,1
T10814C1,"07/10/2016 11:12:19,000000000",4,1
T16828C1,"07/10/2016 12:12:27,000000000",1,1
T10256E1,"07/10/2016 12:24:03,000000000",2,1
T10731B1,"07/10/2016 12:45:19,000000000",6,1
T12120B1,"07/10/2016 15:47:28,000000000",1,1
T10456C1,"07/10/2016 16:58:50,000000000",1,1
T17205C1,"10/10/2016 08:33:46,000000000",3,1
T12944B1,"10/10/2016 09:15:20,000000000",3,1
T18180C1,"10/10/2016 09:17:29,000000000",3,1
T10212B1,"10/10/2016 10:19:52,000000000",3,1
T10212B1,"10/10/2016 10:22:02,000000000",3,1
T10731B1,"10/10/2016 10:36:49,000000000",8,1
T13406C1,"10/10/2016 11:02:56,000000000",2,1
T11941B1,"10/10/2016 11:48:31,000000000",2,1
T11017E1,"10/10/2016 21:21:25,000000000",3,1
T16376D1,"11/10/2016 09:29:40,000000000",3,1
T10930C1,"11/10/2016 11:57:50,000000000",1,1
T14502B1,"11/10/2016 14:34:04,000000000",5,1
T14962B1,"11/10/2016 17:46:55,000000000",3,1
T10005E1,"11/10/2016 18:09:53,000000000",2,1
T15150D1,"11/10/2016 18:25:24,000000000",1,1
T12944B1,"12/10/2016 20:29:53,000000000",2,1
T10166C1,"13/10/2016 09:59:17,000000000",2,1
T13406C1,"13/10/2016 10:17:52,000000000",3,1
T10731B1,"13/10/2016 10:29:48,000000000",9,1
T14951B1,"13/10/2016 10:30:48,000000000",1,1
T10255B1,"13/10/2016 13:33:41,000000000",2,1
T10382B1,"13/10/2016 13:58:36,000000000",1,1
T16398B1,"13/10/2016 14:50:07,000000000",2,1
T17566B1,"13/10/2016 15:08:46,000000000",1,1
T13971B1,"14/10/2016 09:57:45,000000000",2,1
T16376D1,"14/10/2016 10:01:30,000000000",5,1
T16376D1,"14/10/2016 10:02:16,000000000",5,1
T12731B1,"17/10/2016 10:03:20,000000000",2,1
T19697C1,"17/10/2016 12:55:02,000000000",2,1
T18181C1,"17/10/2016 14:02:22,000000000",1,1
T11615E1,"17/10/2016 17:37:08,000000000",3,1
T18142E1,"18/10/2016 08:46:25,000000000",4,1
